FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,Classifications 1,Classifications 2,Classifications 3,Classifications 4,Classifications 5,Other Classifications,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId
AHRC,AH/J004227/1,University of Sheffield,Archaeology,Fellowship,Kuykendall,Kevin,,,,,,,Makapansgat and the Heritage of South African Palaeoanthropology,06/02/2012,05/10/2012,91738,,,Closed,Archaeology Of Human Origins,Heritage Management,Palaeobiology,Science-Based Archaeology,,,https://gtr.ukri.org:443/projects?ref=AH/J004227/1,0BC7FBA2-EE7D-48E4-B18B-ADCA6B1A0B41,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,03D8AFBB-3EA5-4885-B036-BD4F9F4F9849,217077F3-7925-4030-B746-49AFF0A1844C
AHRC,AH/N007514/1,University of Reading,Archaeology,Research Grant,Hosfield,Robert,Tyldesley,,,,,,Coping with climate: the legacy of H. heidelbergensis,01/04/2016,30/09/2017,32521,,,Closed,Archaeology Of Human Origins,Palaeobiology,Palaeoenvironments,Quaternary Science,Social Anthropology,,https://gtr.ukri.org:443/projects?ref=AH/N007514/1,AF90FB66-3E10-4D02-9389-29AD6CD65FE9,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,E89C3602-0FB4-4044-A918-58966B8A10B2,604465CE-F824-49E0-91E6-A8DDC6101350
AHRC,AH/S005196/1,University of Bradford,Sch of Life Sciences,Research Grant,Croucher,Karina,Theresa,,,,,,Continuing Bonds: Creative Dissemination,02/01/2019,01/10/2019,42499,,,Active,Archaeology Of Human Origins,Archaeology of Literate Soc.,Creative Writing,Prehistoric Archaeology,Social Psychology,,https://gtr.ukri.org:443/projects?ref=AH/S005196/1,5B1B058C-EB53-46CE-BE4E-6FF2A0288A5D,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,0838B2E1-D5E2-4ACD-AA27-D2B1BFDC124F,D8512246-FE4D-44E4-AAD8-7B849B6D9C94
AHRC,AH/L00688X/1,University of Bradford,Sch of Life Sciences,Research Grant,Donahue,Randolph,Edmund,http://orcid.org/0000-0002-6717-9629,,,,,"Fragmented Heritage' From the Kilometre to the Nanometre: Automated 3D Technology to Revolutionize Landscape, Site, and Artefact Analyses",01/10/2013,31/10/2019,1854691,,,Active,Archaeology Of Human Origins,Digital Arts HTP,Prehistoric Archaeology,Science-Based Archaeology,Technology and method dev,,https://gtr.ukri.org:443/projects?ref=AH/L00688X/1,4D60413B-53AB-4654-87BB-F78AA67ADD11,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,0838B2E1-D5E2-4ACD-AA27-D2B1BFDC124F,88492237-1874-487E-9E0E-E6C1A12D7503
BBSRC,BB/N015827/1,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,Sansom,Robert,Stephen,,,,,,Overcoming the morphology problem of phylogenetics,01/10/2016,30/09/2019,279204,,,Closed,Archaeology Of Human Origins,Evolution & populations,Palaeobiology,Systematics & Taxonomy,,,https://gtr.ukri.org:443/projects?ref=BB/N015827/1,0DE00811-D514-40E3-A99A-174133ECF05F,2512EF1C-401B-4222-9869-A770D4C5FAC7,68D0E3C9-9246-4CFC-B5E9-48584CF82993,B23C814D-3628-4D0C-BA6D-5AE1E0F72A38
AHRC,AH/S003541/1,University of Exeter,Theology,Research Grant,Loosley,Emma,,http://orcid.org/0000-0002-2951-9805,,,,,Widening participation and increasing access to Cultural Heritage and Natural Science Activities in Georgia.,01/01/2019,31/12/2020,50754,,,Active,Archaeology Of Human Origins,Archaeology of Literate Soc.,Cultural History,Ethnography & Anthropology,GCRF,Landscape & Environ. Archaeol.,https://gtr.ukri.org:443/projects?ref=AH/S003541/1,481A8D0F-D805-4958-A897-E7082A65836C,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,961756BF-E31F-4A13-836F-0A09BA02385C,AC6C0E6D-4B79-4F7E-9F2D-7EC7001E9307
NERC,NE/K015184/1,University of Southampton,Faculty of Humanities,Research Grant,Pike,Alistair,William,http://orcid.org/0000-0002-5610-8948,,,,,Dating the origins and development of Palaeolithic cave painting in Europe by U-series disequilibrium,31/03/2014,30/09/2017,393030,,,Closed,Archaeology Of Human Origins,Climate & Climate Change,Prehistoric Archaeology,"Rel, Material & Cog Anthrop",Science-Based Archaeology,,https://gtr.ukri.org:443/projects?ref=NE/K015184/1,FCD32037-4B4C-4F4E-B034-041DC981119C,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,EC825258-56A6-4F8A-94F6-B6141384EACD
AHRC,AH/K00378X/1,University of Southampton,Faculty of Humanities,Research Grant,Gamble,Clive,,,,,,,Crossing the threshold: the evolution of place and landscape in earliest prehistory,01/10/2013,18/11/2016,559381,,,Closed,Archaeology Of Human Origins,Prehistoric Archaeology,Quaternary Science,Science-Based Archaeology,,,https://gtr.ukri.org:443/projects?ref=AH/K00378X/1,E4DA7F8E-E17F-4DBF-938D-C9E17D77B173,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,30A429E3-83B7-4E41-99C0-14A144F07DFE,B79A277B-BD53-4565-98AD-6008E69F558B
NERC,NE/S010211/1,University of York,Chemistry,Research Grant,Penkman,Kirsty,,http://orcid.org/0000-0002-6226-9799,,,,,Wisdom teeth: refining our understanding of mammalian evolution through dating dental enamel,01/08/2019,31/07/2022,647326,,,Active,Analytical Science,Archaeology Of Human Origins,Palaeoenvironments,Quaternary Science,Science-Based Archaeology,,https://gtr.ukri.org:443/projects?ref=NE/S010211/1,90A1E3AF-91CC-4259-BD70-07586EA9D5B2,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,8319F78A-DCBD-49F6-BE00-78E1CD75CDA9,B2040BDC-EC03-4D2B-9927-99147B929032
AHRC,AH/S011633/1,University of Reading,Archaeology,Research Grant,Mithen,Steven,John,,,,,,"OUR PAST, OUR FUTURE, ALL TOGETHER IN FAYNAN",01/02/2019,31/01/2021,202383,,,Active,Archaeology Of Human Origins,Development Geography,Landscape & Environ. Archaeol.,Newton,Prehistoric Archaeology,Recreation/Tourism Geography,https://gtr.ukri.org:443/projects?ref=AH/S011633/1,5520A3E7-159C-405D-9C12-A223E001B09D,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,E89C3602-0FB4-4044-A918-58966B8A10B2,4CDD442C-FAED-403F-B722-79F7E3D1D942
AHRC,AH/J007935/1,University of Bradford,Sch of Life Sciences,Fellowship,Evans,Adrian,Anthony,,,,,,New Tools and Old Stones: The Use of 3D Microscopy on Stone Tools to Understand Prehistoric Behaviour and Social Change,01/10/2012,31/07/2013,63366,,,Closed,Archaeology Of Human Origins,Eng. Dynamics & Tribology,Materials Characterisation,Science-Based Archaeology,,,https://gtr.ukri.org:443/projects?ref=AH/J007935/1,83472AB5-C44B-4E1C-82E9-79658CCBCFB0,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,0838B2E1-D5E2-4ACD-AA27-D2B1BFDC124F,5340CAB6-9F39-4FDE-81B7-01D814797814
NERC,NE/J00443X/1,Birkbeck College,Earth and Planetary Sciences,Research Grant,Hopley,Philip,Jeffrey,,,,,,Influence of Orbital Forcing on ENSO variability - new insights from an annually laminated speleothem,01/09/2011,31/08/2014,77215,,,Closed,Archaeology Of Human Origins,Biogeochemical Cycles,Climate & Climate Change,Palaeoenvironments,Science-Based Archaeology,,https://gtr.ukri.org:443/projects?ref=NE/J00443X/1,F7E8EA66-7BA3-430C-8C59-651A7E4AC39D,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,3E18DACB-05AA-4C71-88FB-C909A8311BB5,30CCE155-D438-4CA2-8B1C-4824E0380090
AHRC,AH/K00638X/1,University of Exeter,Archaeology,Research Grant,Hurcombe,Linda,,,,,,,Touching the past: investigating sensory engagement and authenticity in the provision of touch experiences in museums across a range of media,01/02/2013,31/12/2013,80099,,,Closed,Archaeology of Literate Soc.,Human Communication in ICT,Human-Computer Interactions,Museum & Gallery Studies,Prehistoric Archaeology,,https://gtr.ukri.org:443/projects?ref=AH/K00638X/1,2BA00943-DE1C-4E1B-9C41-5A5BE75545D3,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,961756BF-E31F-4A13-836F-0A09BA02385C,C46A1788-EAAE-4542-99DB-8F66AE1DDE03
AHRC,112851/1,University of Southampton,Faculty of Humanities,Research Grant,Wheatley,David,,,,,,,Spatial analysis and environmental reconstruction of the Avebury landscape,07/02/2006,06/05/2006,10510,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=112851/1,2DACF029-24BF-43D8-B98A-08840C62D034,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,30A429E3-83B7-4E41-99C0-14A144F07DFE,9A87CC92-D72B-40C6-8BE6-6ABF78CC2887
AHRC,AH/F013256/1,University of Oxford,Oriental Institute,Research Grant,Frood,Elizabeth,Anne,,,,,,Second bodies: Elite self-presentation and landscapes of display in late New Kingdom Egypt,13/01/2009,12/04/2009,18392,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/F013256/1,128239AF-2249-440B-B095-6850E54296ED,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,0AB6B664-AA98-4D6B-951E-72183C2C229C
AHRC,AH/F001851/1,University of St Andrews,Sch of Greek Latin and Ancient History,Research Grant,Sweetman,Rebecca,Jane,,,,,,Roman and Late Antique Mosaics of Crete: long term continuity and change,22/09/2008,25/05/2009,26384,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/F001851/1,443AB6D0-A28B-40C6-A8D3-82D47DECFE61,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,C0E4FAD2-3C8B-410A-B6DF-3B9B9E433060,C7D360BE-21A9-4703-A5A0-230680427414
AHRC,AH/E000495/1,University of Nottingham,Sch of Humanities,Research Grant,Loveluck,Christopher,Paul,,,,,,"Northwest Europe from the Carolingians to the Crusades, AD 600-1200: an archaeology of social transformation",01/02/2007,31/05/2007,22271,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E000495/1,4E2B2D68-6637-49F5-BC12-71FAD473B9C5,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,936D002F-A8D1-4A93-AE5D-825ED0903D8D,7CD2AD2B-F7FB-47CB-88A7-843D8583448B
AHRC,AH/E006442/1,University of Birmingham,History and Cultures,Research Grant,Gaffney,Vincent,Lawrence,http://orcid.org/0000-0001-7918-0494,,,,,Medieval Warfare on the Grid: The Case of Manzikert,01/10/2007,30/09/2011,329745,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E006442/1,431EDBDF-A528-4B38-A299-2666ACE09504,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,818CD6C9-61EE-41F2-9F37-0C7A8F43E25D,E1C07626-6B58-4B17-8100-8403A77E8158
AHRC,AH/E008968/1,University of Leicester,Sch of Archaeology and Ancient History,Research Grant,Christie,Neil John,,,,,,,"Modelling Urban Renewal and Growth in Britain and North-West Europe, AD 800-1300: The Wallingford Burh to Borough Project",01/01/2008,31/03/2011,324990,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E008968/1,95610F2E-76F5-4CF1-AE68-E1603E72BEBC,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,C842A34F-18F7-454D-A259-FED802368496,52386A66-A158-4775-906A-529C7FCAA123
AHRC,119562/1,University of York,Archaeology,Research Grant,Mytum,Harold,Clive,,,,,,"Commemoration and Scottish emigration: graveyard memorials, texts, and symbols in Ulster, North America and Australia",02/01/2006,01/01/2007,9190,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=119562/1,3881518D-9CB8-4976-997D-EA0607BD8E0A,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,8319F78A-DCBD-49F6-BE00-78E1CD75CDA9,0EC9CF77-647F-435F-8B74-7DB3ED691F7A
AHRC,AH/I001670/1,Cardiff University,"Sch of History, Archaeology & Religion",Fellowship,Lane,Alan,,,,,,,"Exploration of the unique royal crannog at Llangors, Powys, Wales",01/01/2011,30/09/2011,47515,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/I001670/1,0FC28443-2F0D-491E-913C-F947F5DF9A0F,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,9C10D78F-6430-4CA7-9528-B96B0762A4C6,92BE4D1C-F521-4760-B204-6831C61C901F
AHRC,AH/J000965/1,University of Reading,Archaeology,Fellowship,Eckardt,Hella,,,,,,,Objects and identities in Roman Britain and the north-western provinces,01/01/2013,31/03/2013,22021,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/J000965/1,01F94206-A57F-4993-9B50-C719816934CE,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,E89C3602-0FB4-4044-A918-58966B8A10B2,F62B7C44-7F7F-4817-947C-09E6DABADE33
AHRC,AH/G010269/1,University of Reading,Archaeology,Research Grant,Gilchrist,Roberta,,,,,,,Glastonbury Abbey: Archaeological Archive Project,01/04/2009,30/06/2013,339640,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/G010269/1,011672A4-F6F8-42F1-9395-4DBF360CD678,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,E89C3602-0FB4-4044-A918-58966B8A10B2,2C5F5D97-5CBB-494B-BDF9-5BBD698A07BA
AHRC,AH/I001611/1,University of Bristol,School of Humanities,Fellowship,Momigliano,Nicoletta,,http://orcid.org/0000-0003-4790-1060,,,,,"Bronze Age Carian Iasos: Structures, Stratigraphy, and Finds from the area of the Late Roman Agora (ca. 3000-1500 BC)",01/10/2011,31/01/2012,30606,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/I001611/1,5CF38491-9D74-44D8-93E5-544BFBCB6AAF,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,4A348A76-B2D0-4DDD-804A-CE735A6D3798,BF83CB98-14C1-4DC4-B8EF-EBA4F611577B
AHRC,AH/E004687/1,Cardiff University,"Sch of History, Archaeology & Religion",Research Grant,Pringle,Reginald,Denys,,,,,,"Pilgrimage to Jerusalem and the Holy Land, 1187-1291",01/03/2008,30/06/2008,35339,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E004687/1,F60C4228-EA5C-4A94-9AAC-57EF069BD6B2,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,9C10D78F-6430-4CA7-9528-B96B0762A4C6,75A9EE9D-2275-4F82-9803-C9D1168C911F
AHRC,AH/S002693/1,Museum of London Archaeology,Research and Education,Research Grant,Jeffries,Nigel,,http://orcid.org/0000-0001-7010-2860,,,,,Bottles concealed and revealed: examining the phenomena of stone and glass 'witch bottles' and their concealment in mid to late 17th-century England,01/04/2019,31/03/2022,222359,,,Active,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/S002693/1,77D77630-05B3-413E-8718-9BC616405CBF,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,86A3AC4C-FDE6-4D09-AB0B-FF79F516FBA6,54A61B1B-2B54-4848-A35B-180ED2F3A7B8
AHRC,AH/E004504/1,University of Exeter,Archaeology,Research Grant,Williams,Howard,Morgan,,,,,,The Archaeology of Early Medieval Commemoration,01/10/2007,31/01/2008,23461,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E004504/1,FC5741BB-DCE7-4EB2-A580-51428B9A2323,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,961756BF-E31F-4A13-836F-0A09BA02385C,F7E4FD77-97B7-458D-9552-B36622567157
AHRC,112754/1,University of Leicester,Sch of Archaeology and Ancient History,Research Grant,Gillings,Mark,,http://orcid.org/0000-0002-2326-7678,,,,,A synthetic account of medieval and post-medieval destruction events at the Neolithics site of Avebury.,23/01/2006,22/04/2006,10510,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=112754/1,091CB9E0-7066-4BAA-98DC-7ECC6E5C432D,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,C842A34F-18F7-454D-A259-FED802368496,1F8228B8-644A-4EB4-9478-9256170FF2C1
AHRC,AH/E00086X/1,University of Bristol,School of Arts,Research Grant,Hicks,Dan,,,,,,,"Historical Archaeology and the British Atlantic World, AD 1600-1800",28/09/2006,27/01/2007,22541,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E00086X/1,6273B097-D5A4-4816-B948-36CB390904EB,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,4A348A76-B2D0-4DDD-804A-CE735A6D3798,C0BCB59A-684A-451C-92AB-7A961C144A58
AHRC,AH/H002529/1,University of Oxford,Oriental Institute,Research Grant,Baines,John,,http://orcid.org/0000-0003-4543-9909,,,,,"Ancient Egyptian biography: environment, monuments, and texts",01/04/2010,31/07/2010,40561,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/H002529/1,A4B011CA-167B-43BD-AE27-3F015E1B358F,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,8BB7978D-D8EF-4501-951A-7E66F4D4D054
AHRC,AH/H005218/1,University of Liverpool,Archaeology Classics and Egyptology,Research Grant,Routledge,Bruce,Edward,,,,,,"William Morton's Excavations at Dhiban, Jordan: 1955, 1956, 1965",26/09/2010,25/01/2011,28738,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/H005218/1,64FF5B03-2B73-45B1-8403-F236103D554E,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,A0A585E0-6B0D-4643-A3A6-47943B4CBFEF,6712B696-FACF-42C7-9FB6-E64D403A1D06
AHRC,AH/F017871/1,University of Oxford,Classics Faculty,Research Grant,SMITH,Roland,Ralph,,,,,,The Last Statues of Antiquity,01/01/2009,31/12/2012,657233,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/F017871/1,A06A9238-97B1-4BCA-B74E-F6EB45496690,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,F0413A73-08F5-4C0E-9884-D0DBD6DB7C63
AHRC,AH/J001953/1,University of Leicester,Sch of Archaeology and Ancient History,Research Grant,Young,Ruth,,,,,,,Mapping Faith and Place in Leicester,01/08/2011,31/07/2012,18974,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/J001953/1,A46F798E-563C-492E-B0A1-359C71A68BBA,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,C842A34F-18F7-454D-A259-FED802368496,5D275D71-9142-4072-8BB8-0EBDD951FC58
AHRC,AH/E504167/1,University of Birmingham,History and Cultures,Research Grant,Esmonde Cleary,Simon,,,,,,,Refashioning the World: an archaeology of the Roman West AD 200-500,13/01/2007,12/05/2007,26845,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/E504167/1,46AF7A0C-D385-4464-B40E-245A76782FC6,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,818CD6C9-61EE-41F2-9F37-0C7A8F43E25D,90053DD5-888C-4FE6-A2C5-A7334FACC31C
AHRC,AH/F004591/1,University of Birmingham,History and Cultures,Research Grant,Shepherd,Gillian Beatrice,,,,,,,Death and Religion in Archaic Greek Sicily,13/01/2008,12/05/2008,24194,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/F004591/1,D745969A-8562-4CB5-9C27-38A90E413D1A,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,818CD6C9-61EE-41F2-9F37-0C7A8F43E25D,B3E1DBF1-338D-4462-A7B8-415CB7AD7A64
AHRC,AH/T001003/1,University of Leicester,Sch of Archaeology and Ancient History,Research Grant,Allison,Penelope,Mary,,,,,,Arch-I-Scan: Automated recording and machine learning for collating Roman ceramic tablewares and investigating eating and drinking practices,01/11/2019,31/07/2022,811815,,,Active,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/T001003/1,EC2F95AE-4301-457D-B24A-1F02C126FDB6,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,C842A34F-18F7-454D-A259-FED802368496,3EAD2333-F3E6-4FDB-B4BD-94A7DC24E3EC
AHRC,AH/F01046X/1,University of Reading,Archaeology,Research Grant,Fulford,Michael,Gordon,,,,,,The samian pottery industries of Roman Gaul,01/03/2008,30/09/2012,478367,,,Closed,Archaeology of Literate Soc.,,,,,,https://gtr.ukri.org:443/projects?ref=AH/F01046X/1,B5489424-1E5F-417D-9A46-696B100CE91D,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,E89C3602-0FB4-4044-A918-58966B8A10B2,CC9470A6-BD5D-47F6-B59A-B6E209C6C0F2
